Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Jason Henderson,ODU,LB,44,108,152,4.0,23,0,0,0,0,0
Jay Higgins,IOWA,LB,51,70,121,1.0,0,2,1,0,0,1
Tyrice Knight,UTEP,LB,71,45,116,3.5,2,5,0,0,0,0
Joe Sparacio,EMU,LB,49,63,112,2.0,0,2,0,0,0,2
Payton Wilson,NCSU,LB,53,59,112,4.0,15,6,2,15,1,0
Trevor Williams,SHSU,LB,70,39,109,1.0,0,0,1,0,0,1
MJ Tafisi Jr.,USU,LB,44,64,108,0.0,18,1,0,0,0,2
Bryce Houston,OHIO,LB,50,55,105,1.5,0,1,2,24,0,1
Matt Salopek,M-OH,LB,57,45,102,3.0,28,2,1,1,0,0
Kendarin Ray,TLSA,S,54,46,100,0.0,19,1,1,0,0,0
Nickolas Martin,OKST,LB,52,48,100,5.0,5,0,1,13,0,1
Jett Johnson,MSST,LB,43,56,99,5.0,0,1,2,33,0,2
Donovan Manuel,FIU,LB,54,45,99,0.5,0,3,0,0,0,4
Chase Kline,EMU,LB,35,63,98,2.0,0,2,0,0,0,2
Wayne Matthews III,ODU,LB,28,70,98,1.5,11,2,0,0,0,1
Cedric Gray,UNC,LB,54,42,96,4.5,24,3,1,0,0,2
Marques Watson-Trent,GASO,LB,48,48,96,3.5,29,1,2,50,1,1
Nathaniel Watson,MSST,LB,30,65,95,9.0,1,2,1,16,0,1
Hunter Wohler,WIS,S,61,34,95,1.0,0,4,2,0,0,0
Jackson Mitchell,CONN,LB,47,48,95,1.0,0,1,1,0,0,0
Terry Jones,ODU,S,25,69,94,0.0,13,4,0,0,0,1
Jack Howell,CSU,DB,36,58,94,0.0,13,3,1,23,0,1
Debo Williams,SC,LB,52,42,94,1.0,30,2,0,0,0,0
Chase Wilson,CSU,LB,34,57,91,2.5,33,3,0,0,0,0
Easton Gibbs,WYO,LB,40,50,90,1.5,4,4,1,2,0,2
Jonas Sanker,UVA,S,61,29,90,0.0,0,8,0,0,0,2
Tyren Dupree,LIB,LB,48,40,88,2.5,10,3,2,6,0,0
Bryce Gallagher,NU,LB,31,57,88,1.0,0,2,1,0,0,2
Dillon Thieneman,PUR,DB,60,28,88,0.0,15,2,3,26,0,2
Easton Mascarenas-Arnold,ORST,LB,36,52,88,2.0,0,0,2,10,0,0
Jaheim Thomas,ARK,LB,39,48,87,3.5,45,2,0,0,0,0
Bryan McCoy,AKR,LB,29,58,87,1.0,0,0,0,0,0,1
Aaron Casey,IU,LB,60,26,86,5.5,11,3,0,0,0,2
Andrew Parker Jr.,APP,LB,44,42,86,2.0,50,1,0,0,0,0
Jeslord Boateng,LT,LB,28,58,86,1.0,63,1,0,0,0,0
Jason Johnson,UCF,LB,51,35,86,1.0,16,1,0,0,0,0
Donovan McMillon,PITT,DB,43,43,86,0.0,1,1,0,0,0,1
Tre Freeman,DUKE,LB,40,45,85,1.5,0,1,1,24,0,1
Jackson Woodard,UNLV,LB,36,48,84,0.5,6,2,1,5,0,0
Jacob Manu,ARIZ,LB,36,48,84,5.5,0,1,0,0,0,0
Marlowe Wax,SYR,LB,54,29,83,4.0,0,2,1,14,0,3
Caleb Downs,ALA,DB,53,30,83,0.0,0,1,2,11,0,1
Myles Heard,LT,DB,36,45,81,0.0,0,4,0,0,0,1
Brian Holloway,TXST,LB,44,37,81,0.5,23,0,2,3,0,3
Danny Stutsman,OU,LB,38,43,81,2.0,11,2,1,30,1,1
Ben Roberts,TTU,LB,45,36,81,0.5,0,0,1,5,0,2
Keye Thompson,OHIO,LB,35,45,80,1.5,19,2,1,8,0,1
Xander Mueller,NU,LB,44,36,80,4.5,0,2,1,28,0,0
Aiden Fisher,JMU,LB,33,47,80,1.5,12,5,1,4,0,0
Nick Jackson,IOWA,LB,32,47,79,3.0,2,1,0,0,0,2
Kendal Daniels,OKST,S,47,32,79,2.0,0,0,1,20,0,1
Adari Haulcy,HOU,DB,59,20,79,0.0,0,3,0,12,0,0
Emany Johnson,NEV,DB,58,20,78,0.0,8,2,3,15,0,1
Jontrey Hunter,GAST,LB,45,33,78,1.0,6,3,0,0,0,2
