Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Michael Penix Jr.,WASH,QB,225,324,69.4,3201,9.9,92,26,7,6,174.6
Caleb Williams,USC,QB,216,312,69.2,2958,9.5,76,28,4,27,175.9
Shedeur Sanders,COLO,QB,270,385,70.1,2882,7.5,75,24,3,45,152.0
Drake Maye,UNC,QB,203,308,65.9,2803,9.1,77,20,5,22,160.5
Jayden Daniels,LSU,QB,178,247,72.1,2792,11.3,86,27,4,18,199.9
Cameron Ward,WSU,QB,240,349,68.8,2773,7.9,63,17,4,25,149.3
Brayden Schager,HAW,QB,255,409,62.3,2768,6.8,65,22,12,34,131.1
Bo Nix,ORE,QB,235,301,78.1,2723,9.0,72,25,2,4,180.1
Carson Beck,UGA,QB,213,295,72.2,2716,9.2,55,16,4,8,164.7
Brayden Fowler-Nicolosi,CSU,QB,234,372,62.9,2696,7.2,76,18,13,11,132.8
Davis Brin,GASO,QB,257,387,66.4,2651,6.8,76,18,13,21,132.6
Dillon Gabriel,OU,QB,206,289,71.3,2646,9.2,55,20,5,11,167.6
Seth Henigan,MEM,QB,208,314,66.2,2535,8.1,63,20,7,17,150.6
Spencer Rattler,SC,QB,212,304,69.7,2516,8.3,76,14,6,36,150.5
TJ Finley,TXST,QB,202,291,69.4,2504,8.6,89,18,5,20,158.7
Taulia Tagovailoa,MD,QB,218,335,65.1,2486,7.4,64,21,7,20,143.9
Brady Cook,MIZ,QB,183,272,67.3,2471,9.1,76,16,5,16,159.3
Jordan Travis,FSU,QB,186,289,64.4,2469,8.5,80,19,2,11,156.4
Jaxson Dart,MISS,QB,160,244,65.6,2467,10.1,68,16,4,20,168.9
Chandler Rogers,UNT,QB,195,307,63.5,2445,8.0,80,21,3,20,151.0
JT Daniels,RICE,QB,181,287,63.1,2443,8.5,80,21,7,15,153.8
Gunnar Watson,TROY,QB,168,274,61.3,2435,8.9,64,17,4,19,153.5
Graham Mertz,FLA,QB,221,299,73.9,2409,8.1,50,17,2,26,159.0
Joey Aguilar,APP,QB,181,285,63.5,2399,8.4,69,23,6,11,156.6
Jacob Zeno,UAB,QB,218,289,75.4,2389,8.3,75,17,7,20,159.4
Austin Reed,WKU,QB,215,358,60.1,2382,6.7,70,21,6,5,132.0
Preston Stone,SMU,QB,166,282,58.9,2355,8.4,91,21,5,8,150.0
Kyle McCord,OSU,QB,167,257,65.0,2352,9.2,75,17,4,14,160.6
Jordan McCloud,JMU,QB,176,262,67.2,2343,8.9,74,22,7,11,164.7
Nicholas Vattiato,MTSU,QB,221,331,66.8,2334,7.1,72,16,9,26,136.5
Haynes King,GT,QB,179,283,63.3,2330,8.2,58,22,10,8,151.0
Donovan Smith,HOU,QB,211,320,65.9,2303,7.2,53,18,7,20,140.6
Sam Hartman,ND,QB,162,258,62.8,2272,8.8,76,18,7,14,154.4
Mikey Keene,FRES,QB,210,311,67.5,2238,7.2,65,20,7,17,144.7
Byrum Brown,USF,QB,194,305,63.6,2222,7.3,88,17,7,28,138.6
Jack Plummer,LOU,QB,154,236,65.3,2159,9.1,85,14,8,18,154.9
Carter Bradley,USA,QB,167,254,65.7,2156,8.5,84,13,7,19,148.4
E.J. Warner,TEM,QB,180,304,59.2,2143,7.0,74,16,7,5,131.2
J.J. McCarthy,MICH,QB,156,206,75.7,2134,10.4,54,18,3,11,188.7
Diego Pavia,NMSU,QB,143,239,59.8,2116,8.9,80,17,6,16,152.7
Tyler Van Dyke,MIA,QB,170,251,67.7,2057,8.2,64,16,11,9,148.8
Cade Klubnik,CLEM,QB,201,320,62.8,2056,6.4,69,14,6,17,127.5
Joe Milton III,TENN,QB,169,258,65.5,2017,7.8,83,15,4,13,147.3
DJ Uiagalelei,ORST,QB,134,230,58.3,2014,8.8,75,18,4,10,154.2
Chevan Cordeiro,SJSU,QB,164,269,61.0,1989,7.4,63,13,3,17,136.8
Kaidon Salter,LIB,QB,114,192,59.4,1959,10.2,75,23,3,8,181.5
Will Howard,KSU,QB,163,257,63.4,1955,7.6,61,18,8,13,144.2
Cam Fancher,MRSH,QB,186,286,65.0,1948,6.8,65,8,11,24,123.8
Grayson McCall,CCU,QB,151,224,67.4,1919,8.6,63,10,6,12,148.7
Rocco Becht,ISU,QB,162,262,61.8,1918,7.3,75,13,7,7,134.4
Quinn Ewers,TEX,QB,151,213,70.9,1915,9.0,51,13,3,17,163.7
Alan Bowman,OKST,QB,169,288,58.7,1914,6.6,67,8,5,4,120.2
Devin Leary,UK,QB,147,256,57.4,1905,7.4,59,18,7,13,137.7
Drew Allar,PSU,QB,181,288,62.8,1895,6.6,72,20,1,11,140.3
Luke Altmyer,ILL,QB,175,270,64.8,1883,7.0,54,13,10,34,131.9
Darren Grainger,GAST,QB,161,243,66.3,1871,7.7,97,12,4,10,143.9
Hudson Card,PUR,QB,177,306,57.8,1861,6.1,84,9,8,19,113.4
Jalen Milroe,ALA,QB,114,176,64.8,1836,10.4,79,13,5,32,171.1
Jayden Maiava,UNLV,QB,134,207,64.7,1828,8.8,82,10,4,6,151.0
