Player,School,POS,REC,YDS,AVG,LNG,TD
Malik Nabers,LSU,WR,72,1284,17.8,51,10
Malik Washington,UVA,WR,88,1199,13.6,64,7
Rome Odunze,WASH,WR,59,1100,18.6,50,9
Caullin Lacy,USA,WR,71,1096,15.4,84,6
Xavier Legette,SC,WR,59,1093,18.5,76,5
Troy Franklin,ORE,WR,60,1093,18.2,84,11
Marvin Harrison Jr.,OSU,WR,59,1063,18.0,75,12
LaJohntay Wester,FAU,WR,93,1042,11.2,76,8
Ricky White,UNLV,WR,62,1020,16.5,82,6
Luther Burden III,MIZ,WR,68,984,14.5,56,8
Ja'Lynn Polk,WASH,WR,55,943,17.1,92,8
Brian Thomas Jr.,LSU,WR,51,918,18.0,86,13
Tahj Washington,USC,WR,47,915,19.5,76,6
Elic Ayomanor,STAN,WR,52,912,17.5,97,6
Reggie Brown,JMU,WR,45,903,20.1,80,8
Isaiah Williams,ILL,WR,68,893,13.1,67,5
Ricky Pearsall,FLA,WR,62,876,14.1,50,4
Eric McAlister,BOIS,WR,47,873,18.6,83,5
Tory Horton,CSU,WR,81,872,10.8,76,6
Xavier Weaver,COLO,WR,65,867,13.3,48,4
Tetairoa McMillan,ARIZ,WR,61,860,14.1,55,8
Kris Mitchell,FIU,WR,50,845,16.9,64,6
Elijah Sarratt,JMU,WR,60,841,14.0,48,4
Steven McBride,HAW,WR,52,839,16.1,65,8
Ja'Mori Maclin,UNT,WR,46,825,17.9,80,11
Jalen Royals,USU,WR,54,821,15.2,71,11
Sean Atkins,USF,WR,69,808,11.7,88,4
Joey Hobert,TXST,WR,64,804,12.6,83,7
Joshua Cephus,UTSA,WR,67,803,12.0,84,8
Khaleb Hood,GASO,WR,80,794,9.9,43,4
CJ Daniels,LIB,WR,37,792,21.4,75,8
Javon Baker,UCF,WR,37,790,21.4,86,5
Kelly Akharaiyi,UTEP,WR,37,786,21.2,80,5
Roc Taylor,MEM,WR,50,779,15.6,85,4
Samuel Brown,HOU,WR,59,776,13.2,53,3
Terrell Vaughn,USU,WR,70,776,11.1,76,10
Luke McCaffrey,RICE,WR,51,768,15.1,51,10
Sam Pinckney,CCU,WR,54,763,14.1,52,6
Tre Harris,MISS,WR,40,761,19.0,56,7
Xavier Worthy,TEX,WR,59,757,12.8,45,4
Smoke Harris,LT,WR,74,735,9.9,64,4
