Player,School,POS,ATT,YDS,AVG,LNG,TD
Ollie Gordon II,OKST,RB,186,1250,6.7,75,12
Omarion Hampton,UNC,RB,206,1236,6.0,68,13
Marcus Carroll,GAST,RB,244,1206,4.9,63,12
Tahj Brooks,TTU,RB,226,1170,5.2,38,8
Kimani Vidal,TROY,RB,211,1168,5.5,69,7
Jonathon Brooks,TEX,RB,187,1139,6.1,67,10
Cody Schrader,MIZ,RB,197,1124,5.7,52,11
RJ Harvey,UCF,RB,170,1082,6.4,92,12
Quinton Cooley,LIB,RB,181,1066,5.9,32,9
Ismail Mahdi,TXST,RB,159,1050,6.6,65,8
Peny Boone,TOL,RB,147,1042,7.1,71,12
Damien Martinez,ORST,RB,155,1024,6.6,64,7
Kay'Ron Lynch-Adams,MASS,RB,201,1014,5.0,47,9
Jaydn Ott,CAL,RB,172,1014,5.9,66,10
Makhi Hughes,TULN,RB,185,1008,5.4,43,6
Emani Bailey,TCU,RB,186,1006,5.4,74,5
Audric Estime,ND,RB,163,988,6.1,80,13
Jawhar Jordan,LOU,RB,141,976,6.9,74,11
Frank Gore Jr.,USM,RB,196,970,4.9,75,9
Devin Neal,KU,RB,155,965,6.2,75,10
Kyle Monangai,RUTG,RB,181,942,5.2,55,7
Bucky Irving,ORE,RB,138,939,6.8,56,10
Rasheen Ali,MRSH,RB,173,932,5.4,61,14
Ray Davis,UK,RB,160,929,5.8,75,11
Ashton Jeanty,BOIS,RB,157,921,5.9,68,11
Kairee Robinson,SJSU,RB,130,919,7.1,52,15
Jayden Daniels,LSU,QB,114,918,8.1,85,8
Antario Brown,NIU,RB,155,916,5.9,80,7
Blake Watson,MEM,RB,152,909,6.0,69,12
Jalen Buckley,WMU,RB,162,892,5.5,75,9
La'Damian Webb,USA,RB,162,890,5.5,65,15
Corey Kiner,CIN,RB,161,885,5.5,68,5
Quinshon Judkins,MISS,RB,191,868,4.5,40,14
DJ Giddens,KSU,RB,143,859,6.0,43,7
Jaylen Wright,TENN,RB,117,848,7.2,82,3
Jalen White,GASO,RB,140,817,5.8,45,8
Thomas Castellanos,BC,QB,158,806,5.1,45,10
MarShawn Lloyd,USC,RB,108,803,7.4,56,9
LeQuint Allen,SYR,RB,166,797,4.8,56,7
Blake Corum,MICH,RB,152,794,5.2,54,18
Dillon Johnson,WASH,RB,136,790,5.8,53,11
Jamal Haynes,GT,RB,130,768,5.9,67,6
Marquez Cooper,BALL,RB,171,767,4.5,39,3
Nate Noel,APP,RB,149,766,5.1,68,5
Ayo Adeyi,UNT,RB,109,764,7.0,47,4
Terion Stewart,BGSU,RB,125,762,6.1,54,8
Braelon Allen,WIS,RB,133,757,5.7,52,8
CJ Donaldson Jr.,WVU,RB,161,755,4.7,32,10
Jacory Croskey-Merritt,UNM,RB,137,748,5.5,55,14
Deion Hankins,UTEP,RB,139,746,5.4,54,3
Jarquez Hunter,AUB,RB,124,745,6.0,67,7
Carson Steele,UCLA,RB,143,745,5.2,42,6
Jonah Coleman,ARIZ,RB,104,744,7.2,59,3
Emmanuel Michel,AFA,FB,163,733,4.5,53,9
Bryson Daily,ARMY,QB,166,723,4.4,62,6
Trey Benson,FSU,RB,113,721,6.4,85,10
Phil Mafah,CLEM,RB,126,721,5.7,49,8
