Away Team,Home Team,Time,TV,Tickets
Eastern Michigan,@Buffalo,TBD,,Tickets as low as $20
Bowling Green,@Western Michigan,TBD,,Tickets as low as $12
10Ole Miss,@Mississippi State,7:30 PM,,Tickets as low as $31
TCU,@9Oklahoma,12:00 PM,FOX,Tickets as low as $51
Iowa,@Nebraska,12:00 PM,CBS,Tickets as low as $65
Miami,@Boston College,12:00 PM,,Tickets as low as $13
Toledo,@Central Michigan,12:00 PM,,Tickets as low as $12
Ohio,@Akron,12:00 PM,,Tickets as low as $15
Utah State,@New Mexico,3:30 PM,CBSSN,Tickets as low as $19
12Missouri,@Arkansas,4:00 PM,CBS,Tickets as low as $13
25Air Force,@Boise State,4:00 PM,FS1,Tickets as low as $26
Texas Tech,@7Texas,7:30 PM,,Tickets as low as $129
11Penn State,@Michigan State,7:30 PM,NBC,Tickets as low as $26
16Oregon State,@6Oregon,8:30 PM,FOX,Tickets as low as $139
2Georgia,@Georgia Tech,TBD,,Tickets as low as $102
4Florida State,@Florida,TBD,,Tickets as low as $150
Washington State,@5Washington,TBD,,Tickets as low as $164
8Alabama,@Auburn,TBD,,Tickets as low as $220
Kentucky,@13Louisville,TBD,,Tickets as low as $37
Texas A&M,@14LSU,TBD,,Tickets as low as $56
15Notre Dame,@Stanford,TBD,,Tickets as low as $32
Vanderbilt,@17Tennessee,TBD,,Tickets as low as $63
Colorado,@18Utah,TBD,,Tickets as low as $68
California,@19UCLA,TBD,,Tickets as low as $28
21Kansas,@Cincinnati,TBD,,Tickets as low as $23
BYU,@22Oklahoma State,TBD,,Tickets as low as $24
Iowa State,@23Kansas State,TBD,,Tickets as low as $21
UTSA,@24Tulane,TBD,,Tickets as low as $10
Northwestern,@Illinois,TBD,,Tickets as low as $3
Wisconsin,@Minnesota,TBD,,Tickets as low as $73
Indiana,@Purdue,TBD,,Tickets as low as $19
Maryland,@Rutgers,TBD,,Tickets as low as $22
Clemson,@South Carolina,TBD,,Tickets as low as $77
UConn,@Massachusetts,TBD,,Tickets as low as $22
Arizona,@Arizona State,TBD,,Tickets as low as $38
Pittsburgh,@Duke,TBD,,Tickets as low as $15
North Carolina,@NC State,TBD,,Tickets as low as $94
Wake Forest,@Syracuse,TBD,,Tickets as low as $8
Virginia Tech,@Virginia,TBD,,Tickets as low as $71
West Virginia,@Baylor,TBD,,Tickets as low as $5
Houston,@UCF,TBD,,Tickets as low as $9
Tulsa,@East Carolina,TBD,,Tickets as low as $12
UAB,@North Texas,TBD,,Tickets as low as $13
Memphis,@Temple,TBD,,Tickets as low as $17
Charlotte,@South Florida,TBD,,Tickets as low as $5
Florida Atlantic,@Rice,TBD,,Tickets as low as $19
Navy,@SMU,TBD,,Tickets as low as $13
Georgia Southern,@Appalachian State,TBD,,Tickets as low as $97
James Madison,@Coastal Carolina,TBD,,Tickets as low as $30
Arkansas State,@Marshall,TBD,,Tickets as low as $14
Georgia State,@Old Dominion,TBD,,Tickets as low as $10
UL Monroe,@Louisiana,TBD,,Tickets as low as $33
Troy,@Southern Miss,TBD,,Tickets as low as $10
Northern Illinois,@Kent State,TBD,,Tickets as low as $15
Miami (OH),@Ball State,TBD,,Tickets as low as $15
Fresno State,@San Diego State,TBD,,Tickets as low as $31
1Ohio State,@3Michigan,12:00 PM,FOX,Tickets as low as $473
Middle Tennessee,@Sam Houston,12:00 PM,,Tickets as low as $18
Western Kentucky,@Florida International,3:00 PM,,Tickets as low as $9
South Alabama,@Texas State,3:00 PM,,Tickets as low as $11
San Jos� State,@UNLV,3:00 PM,,Tickets as low as $25
Liberty,@UTEP,3:30 PM,CBSSN,Tickets as low as $8
Jacksonville State,@New Mexico State,4:00 PM,,Tickets as low as $18
Wyoming,@Nevada,9:00 PM,CBSSN,Tickets as low as $9
Colorado State,@Hawai'i,11:00 PM,,Tickets as low as $19
