Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore
Bethune-Cookman,@22Miami,MIA,48,BCU,7,Tyler Van Dyke,247,Xavier Restrepo,120
Navy,@Memphis,MEM,28,NAVY,24,Seth Henigan,218,Blake Watson,169
Virginia,@Maryland,MD,42,UVA,14,Taulia Tagovailoa,342,Colby McDonald,75
Army,@UTSA,ARMY,37,UTSA,29,Eddie Lee Marburger,239,Hayden Reed,107
Utah State,@Air Force,AFA,39,USU,21,McCae Hillstead,202,Owen Burk,110
South Carolina,@1Georgia,UGA,24,SC,14,Carson Beck,269,Daijun Edwards,118
Bowling Green,@2Michigan,MICH,31,BGSU,6,McCarthy,143,Blake Corum,101
3Florida State,@Boston College,FSU,31,BC,29,Thomas Castellanos,305,Thomas Castellanos,95
Wyoming,@4Texas,TEX,31,WYO,10,Evan Svoboda,136,Jonathon Brooks,164
Western Kentucky,@6Ohio State,OSU,63,WKU,10,Kyle McCord,318,TreVeyon Henderson,88
7Penn State,@Illinois,PSU,30,ILL,13,Drew Allar,208,Reggie Love III,55
8Washington,@Michigan State,WASH,41,MSU,7,Tybo Rogers,74,Rome Odunze,180
Central Michigan,@9Notre Dame,ND,41,CMU,17,Sam Hartman,330,Audric Estime,176
10Alabama,@South Florida,ALA,17,USF,3,Byrum Brown,87,Roydell Williams,129
11Tennessee,@Florida,FLA,29,TENN,16,Joe Milton III,287,Trevor Etienne,172
Weber State,@12Utah,UTAH,31,WEB,7,Nate Johnson,193,Nate Johnson,71
Hawai'i,@13Oregon,ORE,55,HAW,10,Bo Nix,247,Noah Whittington,80
14LSU,@Mississippi State,LSU,41,MSST,14,Jayden Daniels,361,Quavious Marks,75
15Kansas State,@Missouri,MIZ,30,KSU,27,Brady Cook,356,Cody Schrader,58
San Diego State,@16Oregon State,ORST,26,SDSU,9,DJ Uiagalelei,284,Damien Martinez,102
Georgia Tech,@17Ole Miss,MISS,48,GT,23,Haynes King,307,Jaxson Dart,136
Colorado State,@18Colorado,COLO,43,CSU,35,Nicolosi,367,Dylan Edwards,57
19Oklahoma,@Tulsa,OU,66,TLSA,17,Dillon Gabriel,421,Jovantae Barnes,68
Minnesota,@20North Carolina,UNC,31,MINN,13,Drake Maye,414,Darius Taylor,138
Northwestern,@21Duke,DUKE,38,NU,14,Riley Leonard,219,Riley Leonard,97
Northern Colorado,@23Washington State,WSU,64,UNCO,21,Cameron Ward,327,David Afari,116
North Carolina Central,@24UCLA,UCLA,59,NCCU,7,Dante Moore,182,Anthony Adkins,96
Western Michigan,@25Iowa,IOWA,41,WMU,10,Treyson Bourguet,124,Leshon Williams,145
Liberty,@Buffalo,LIB,55,BUFF,27,Kaidon Salter,344,Kaidon Salter,66
Louisville,@Indiana,LOU,21,IU,14,Tayven Jackson,299,Jawhar Jordan,113
Georgia Southern,@Wisconsin,WIS,35,GASO,14,Davis Brin,383,Braelon Allen,94
Wake Forest,@Old Dominion,WAKE,27,ODU,24,Mitch Griffis,312,Devin Roche,86
Long Island University,@Baylor,BAY,30,LIU,7,Sawyer Robertson,113,Dawson Pendergrass,111
Iowa State,@Ohio,OHIO,10,ISU,7,Rocco Becht,233,Kurtis Rourke,58
Central Connecticut,@Kent State,KENT,38,CCSU,10,Michael Alaimo,172,Gavin Garcia,125
North Dakota,@Boise State,BOIS,42,UND,18,Taylen Green,188,Jambres Dubar,62
VMI,@NC State,NCSU,45,VMI,7,Brennan Armstrong,264,Kendrick Raphael,85
Massachusetts,@Eastern Michigan,EMU,19,MASS,17,Carlos Davis,340,Adams,129
Norfolk State,@Temple,TEM,41,NORF,9,Warner,238,Joquez Smith,142
Indiana State,@Ball State,BALL,45,INST,7,Elijah Owens,157,Marquez Cooper,177
Virginia Tech,@Rutgers,RUTG,35,VT,16,Kyron Drones,190,Kyle Monangai,143
Florida International,@UConn,FIU,24,CONN,17,Keyone Jenkins,284,Devontae Houston,126
East Carolina,@Appalachian State,APP,43,ECU,28,Joey Aguilar,241,Nate Noel,193
UL Monroe,@Texas A&M,TA,47,ULM,3,Conner Weigman,337,Rueben Owens,51
Idaho,@California,CAL,31,IDHO,17,Gevani McCoy,279,Isaiah Ifanse,137
Tulane,@Southern Miss,TULN,21,USM,3,Kai Horton,186,Makhi Hughes,83
Georgia State,@Charlotte,GAST,41,CLT,25,Darren Grainger,466,Jalon Jones,80
Villanova,@UCF,UCF,48,VILL,14,Timmy McClain,321,RJ Harvey,85
Samford,@Auburn,AUB,45,SAM,13,Payton Thorne,282,Payton Thorne,123
North Texas,@Louisiana Tech,UNT,40,LT,37,Chandler Rogers,313,Tyre Shelton,152
Murray State,@Middle Tennessee,MTSU,35,MUR,14,Nicholas Vattiato,291,Cortezz Jones,136
Northern Illinois,@Nebraska,NEB,35,NIU,11,Heinrich Haarberg,158,Heinrich Haarberg,98
Vanderbilt,@UNLV,UNLV,40,VAN,37,AJ Swann,335,Den Thomas,50
Miami (OH),@Cincinnati,M,31,CIN,24,Emory Jones,265,Ryan Montgomery,104
South Alabama,@Oklahoma State,USA,33,OKST,7,Carter Bradley,152,Damian Webb,151
Tarleton State,@Texas Tech,TTU,41,TAR,3,Victor Gabalis,182,Tahj Brooks,158
Louisiana,@UAB,UL,41,UAB,21,Jacob Zeno,280,Jacob Kibodi,108
Prairie View A&M,@SMU,SMU,69,PV,0,Preston Stone,300,Camar Wheaton,75
Texas Southern,@Rice,RICE,59,TXSO,7,JT Daniels,255,Dean Connors,66
Duquesne,@Coastal Carolina,CCU,66,DUQ,7,Grayson McCall,169,Edward Robinson,96
Stony Brook,@Arkansas State,ARST,31,STBK,7,Casey Case,221,Quez Cross,164
James Madison,@Troy,JMU,16,TROY,14,Gunnar Watson,333,Kaelon Black,78
San José State,@Toledo,TOL,21,SJSU,17,Chevan Cordeiro,228,Peny Boone,123
BYU,@Arkansas,BYU,38,ARK,31,KJ Jefferson,247,AJ Green,86
Akron,@Kentucky,UK,35,AKR,3,Devin Leary,315,Ray Davis,72
Syracuse,@Purdue,SYR,35,PUR,20,Hudson Card,323,Garrett Shrader,195
Pittsburgh,@West Virginia,WVU,17,PITT,6,Phil Jurkovec,81,Gavin Bartholomew,39
New Mexico State,@New Mexico,NMSU,27,UNM,17,Dylan Hopkins,247,Diego Pavia,96
Sacramento State,@Stanford,SAC,30,STAN,23,Kaiden Bennett,279,Kaiden Bennett,100
Florida Atlantic,@Clemson,CLEM,48,FAU,14,Cade Klubnik,169,Kobe Lewis,49
TCU,@Houston,TCU,36,HOU,13,Chandler Morris,314,Emani Bailey,126
Jackson State,@Texas State,TXST,77,JKST,34,TJ Finley,251,Malik Hornsby,133
Fresno State,@Arizona State,FRES,29,ASU,0,Mikey Keene,281,Elijah Gilliam,69
Kansas,@Nevada,KU,31,NEV,24,Jalon Daniels,298,Devin Neal,89
UTEP,@Arizona,ARIZ,31,UTEP,10,Jayden de Laura,285,Michael Wiley,83
