Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Middle Tennessee,@Liberty,LIB,42,MTSU,35,Nicholas Vattiato,332,Kaidon Salter,160,Zack Dobson,82
Western Kentucky,@Jacksonville State,JVST,20,WKU,17,Austin Reed,250,Zion Webb,146,Wells,53
Southern Miss,@South Alabama,USA,55,USM,3,Carter Bradley,319,Damian Webb,102,Jamaal Pritchett,122
Florida International,@Sam Houston,FIU,33,SHSU,27,Keegan Shoemaker,306,Kejon Owens,60,Noah Smith,91
New Mexico State,@UTEP,NMSU,28,UTEP,7,Diego Pavia,186,Deion Hankins,120,Eli Stowers,80
Rice,@Tulsa,RICE,42,TLSA,10,JT Daniels,342,Dean Connors,120,Luke McCaffrey,99
James Madison,@Marshall,JMU,20,MRSH,9,Jordan McCloud,264,Jordan McCloud,69,Reggie Brown,126
SMU,@Temple,SMU,55,TEM,0,Preston Stone,300,Jaylan Knighton,64,Romello Brinson,87
2Michigan,@Michigan State,MICH,49,MSU,0,McCarthy,287,Blake Corum,59,AJ Barner,99
7Penn State,@3Ohio State,OSU,20,PSU,12,Kyle McCord,286,Miyan Williams,62,,
16Duke,@4Florida State,FSU,38,DUKE,20,Jordan Travis,268,Jaquez Moore,110,Johnny Wilson,58
Arizona State,@5Washington,WASH,15,ASU,7,DeCarlos Brooks,63,Lynn Polk,102,,
UCF,@6Oklahoma,OU,31,UCF,29,Dillon Gabriel,253,RJ Harvey,101,Javon Baker,134
8Texas,@Houston,TEX,31,HOU,24,Donovan Smith,378,Jonathon Brooks,99,Xavier Worthy,92
Washington State,@9Oregon,ORE,38,WSU,24,Cameron Ward,438,Bucky Irving,129,Lincoln Victor,161
Virginia,@10North Carolina,UVA,31,UNC,27,Drake Maye,347,Omarion Hampton,112,Devontez Walker,146
17Tennessee,@11Alabama,ALA,34,TENN,20,Joe Milton III,271,Jase McClellan,115,Squirrel White,111
13Ole Miss,@Auburn,MISS,28,AUB,21,Jaxson Dart,202,Quinshon Judkins,124,Tre Harris,102
14Utah,@18USC,UTAH,34,USC,32,Caleb Williams,256,Quinden Jackson,117,Sione Vaki,149
Army,@19LSU,LSU,62,ARMY,0,Jayden Daniels,279,Kanye Udoh,108,,
South Carolina,@20Missouri,MIZ,34,SC,12,Spencer Rattler,217,Cody Schrader,159,Luther Burden III,97
22Air Force,@Navy,AFA,17,NAVY,6,Zac Larrier,151,Emmanuel Michel,69,Dane Kinamon,94
North Texas,@23Tulane,TULN,35,UNT,28,Chandler Rogers,343,Makhi Hughes,121,Lawrence Keys III,78
Minnesota,@24Iowa,MINN,12,IOWA,10,Athan Kaliakmanis,126,Darius Taylor,59,Daniel Jackson,101
25UCLA,@Stanford,UCLA,42,STAN,7,Ashton Daniels,268,Carson Steele,76,Elic Ayomanor,90
Mississippi State,@Arkansas,MSST,7,ARK,3,KJ Jefferson,97,Mike Wright,60,Justin Robinson,40
Rutgers,@Indiana,RUTG,31,IU,14,Brendan Sorsby,126,Gavin Wimsatt,143,,
Boston College,@Georgia Tech,BC,38,GT,23,Thomas Castellanos,255,Kye Robichaux,165,Lewis Bond,72
Baylor,@Cincinnati,BAY,32,CIN,29,Blake Shapen,316,Corey Kiner,129,,
Memphis,@UAB,MEM,45,UAB,21,Seth Henigan,159,Blake Watson,125,Koby Drake,51
Western Michigan,@Ohio,OHIO,20,WMU,17,Hayden Wolff,290,Sieh Bangura,86,Sam Wiglusz,155
Charlotte,@East Carolina,CLT,10,ECU,7,Jalon Jones,144,Jalon Jones,127,Colin Weber,40
UL Monroe,@Georgia Southern,GASO,38,ULM,28,Blake Murphy,320,Jalen White,164,Bugs Mortimer,135
Akron,@Bowling Green,BGSU,41,AKR,14,Terion Stewart,131,Daniel George,74,,
Wisconsin,@Illinois,WIS,25,ILL,21,Braedyn Locke,240,Braelon Allen,145,Will Pauling,95
Northwestern,@Nebraska,NEB,17,NU,9,Brendan Sullivan,176,Emmett Johnson,73,Bryce Kirtz,96
South Florida,@UConn,USF,24,CONN,21,Byrum Brown,203,Quan Wright,186,Stephens,92
Pittsburgh,@Wake Forest,WAKE,21,PITT,17,Christian Veilleux,302,Bo Flemister,105,Bub Means,109
Oklahoma State,@West Virginia,OKST,48,WVU,34,Garrett Greene,249,Ollie Gordon II,282,Preston Fox,81
Central Michigan,@Ball State,BALL,24,CMU,17,Jase Bauer,161,Marquez Cooper,162,Tyson Davis,65
Eastern Michigan,@Northern Illinois,NIU,20,EMU,13,Rocky Lombardi,173,Gavin Williams,80,Zayat,74
Buffalo,@Kent State,BUFF,24,KENT,6,Cole Snyder,195,Jacqez Barksdale,84,Marlyn Johnson,64
Toledo,@Miami (OH),TOL,21,M,17,Brett Gabbert,179,Peny Boone,73,Gage Larvadain,85
UTSA,@Florida Atlantic,UTSA,36,FAU,10,Frank Harris,261,Kevorian Barnes,56,Quan Burton,68
Hawai'i,@New Mexico,UNM,42,HAW,21,Brayden Schager,345,Andrew Henry,112,Steven McBride,75
Texas Tech,@BYU,BYU,27,TTU,14,Jake Strong,236,Tahj Brooks,105,Xavier White,98
TCU,@Kansas State,KSU,41,TCU,3,Josh Hoover,187,Emani Bailey,100,Jayce Brown,88
Appalachian State,@Old Dominion,ODU,28,APP,21,Joey Aguilar,252,Kanye Roberts,109,Kaedin Robinson,103
Coastal Carolina,@Arkansas State,CCU,27,ARST,17,Jaylen Raynor,306,Max Balthazar,79,Corey Rucker,104
Colorado State,@UNLV,UNLV,25,CSU,23,Jayden Maiava,353,Vann Schield,90,Jacob De Jesus,120
Utah State,@San José State,SJSU,42,USU,21,McCae Hillstead,160,Kairee Robinson,102,Jalen Royals,60
Clemson,@Miami,MIA,28,CLEM,20,Cade Klubnik,314,Brashard Smith,87,Jake Briningstool,126
Georgia State,@Louisiana,GAST,20,UL,17,Darren Grainger,211,Zeon Chriss,119,Tailique Williams,81
Nevada,@San Diego State,NEV,6,SDSU,0,Brendon Lewis,98,Jalen Mayden,52,Dalevon Campbell,44
