Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Jason Henderson,ODU,LB,50,113,163,4.5,25,0,0,0,0,1
Jay Higgins,IOWA,LB,57,76,133,1.0,0,3,1,0,0,1
Joe Sparacio,EMU,LB,55,72,127,2.5,2,2,0,0,0,2
Tyrice Knight,UTEP,LB,78,47,125,4.5,0,6,0,0,0,1
Payton Wilson,NCSU,LB,61,62,123,5.0,23,6,2,15,1,0
Trevor Williams,SHSU,LB,80,43,123,1.0,0,0,1,0,0,1
MJ Tafisi Jr.,USU,LB,47,73,120,0.0,16,1,0,0,0,2
Jett Johnson,MSST,LB,45,72,117,6.0,0,1,3,33,0,2
Chase Kline,EMU,LB,38,79,117,2.0,30,2,0,0,0,2
Nathaniel Watson,MSST,LB,33,83,116,10.0,19,2,1,16,0,2
Kendarin Ray,TLSA,S,64,52,116,0.0,5,1,1,0,0,0
Bryce Houston,OHIO,LB,52,62,114,2.5,0,1,2,24,0,1
Matt Salopek,M-OH,LB,62,50,112,3.0,0,2,1,1,0,0
Nickolas Martin,OKST,LB,63,49,112,6.0,0,0,1,13,0,1
Donovan Manuel,FIU,LB,61,50,111,0.5,40,3,0,0,0,4
Marques Watson-Trent,GASO,LB,53,55,108,3.5,42,2,2,50,1,1
Jackson Mitchell,CONN,LB,52,54,106,1.0,10,1,1,0,0,0
Jack Howell,CSU,DB,43,63,106,0.0,0,3,1,23,0,1
Wayne Matthews III,ODU,LB,33,72,105,2.5,74,2,0,0,0,1
Cedric Gray,UNC,LB,58,46,104,4.5,16,4,1,0,0,2
Tyren Dupree,LIB,LB,54,48,102,2.5,0,3,2,6,0,0
Bryce Gallagher,NU,LB,37,65,102,1.0,0,2,1,0,0,2
Chase Wilson,CSU,LB,41,61,102,3.5,19,3,0,0,0,0
Debo Williams,SC,LB,58,44,102,1.0,24,2,0,0,0,0
Easton Gibbs,WYO,LB,45,56,101,2.0,29,4,1,2,0,2
Hunter Wohler,WIS,S,67,34,101,1.0,1,4,2,0,0,0
Donovan McMillon,PITT,DB,51,48,99,0.0,23,1,0,0,0,1
Terry Jones,ODU,S,27,71,98,0.0,13,4,0,0,0,1
Dillon Thieneman,PUR,DB,66,32,98,0.0,4,2,4,26,0,2
Aaron Casey,IU,LB,68,29,97,5.5,0,3,0,0,0,2
Jonas Sanker,UVA,S,65,32,97,0.0,11,10,0,0,0,3
Easton Mascarenas-Arnold,ORST,LB,40,55,95,2.0,50,0,2,10,0,0
Jason Johnson,UCF,LB,54,40,94,1.0,6,1,0,0,0,0
Bryan McCoy,AKR,LB,33,61,94,1.0,0,0,0,0,0,1
Andrew Parker Jr.,APP,LB,47,46,93,2.0,0,2,0,0,0,0
Jeslord Boateng,LT,LB,31,62,93,1.0,23,1,0,0,0,0
Xander Mueller,NU,LB,51,42,93,5.0,22,2,2,28,0,0
Jackson Woodard,UNLV,LB,41,52,93,1.5,0,2,1,5,0,0
