Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Michael Penix Jr.,WASH,QB,262,394,66.5,3695,9.4,92,30,7,7,166.8
Caleb Williams,USC,QB,266,388,68.6,3633,9.4,76,30,5,33,170.1
Jayden Daniels,LSU,QB,220,303,72.6,3577,11.8,86,36,4,20,208.3
Bo Nix,ORE,QB,282,361,78.1,3539,9.8,84,35,2,5,191.3
Cameron Ward,WSU,QB,292,438,66.7,3415,7.8,63,22,5,34,146.5
Drake Maye,UNC,QB,247,387,63.8,3354,8.7,77,22,7,28,151.8
Carson Beck,UGA,QB,255,350,72.9,3320,9.5,55,21,5,8,169.5
Seth Henigan,MEM,QB,275,413,66.6,3266,7.9,63,24,8,18,148.3
Dillon Gabriel,OU,QB,242,346,69.9,3260,9.4,63,27,5,14,171.9
Shedeur Sanders,COLO,QB,298,430,69.3,3230,7.5,75,27,3,52,151.7
Brayden Schager,HAW,QB,302,482,62.7,3222,6.7,65,25,14,38,130.1
Davis Brin,GASO,QB,306,476,64.3,3193,6.7,76,22,13,25,130.4
Brayden Fowler-Nicolosi,CSU,QB,266,432,61.6,3143,7.3,76,20,15,11,131.0
Jordan McCloud,JMU,QB,236,345,68.4,3089,9.0,80,27,8,18,164.8
Brady Cook,MIZ,QB,221,330,67.0,3077,9.3,77,18,6,20,159.7
Spencer Rattler,SC,QB,259,367,70.6,3074,8.4,76,19,7,38,154.2
Austin Reed,WKU,QB,263,435,60.5,3060,7.0,75,27,11,6,135.0
Taulia Tagovailoa,MD,QB,266,406,65.5,3016,7.4,64,22,10,25,140.9
Chandler Rogers,UNT,QB,232,368,63.0,2979,8.1,80,26,4,29,152.2
Joey Aguilar,APP,QB,224,353,63.5,2975,8.4,77,29,8,12,156.8
TJ Finley,TXST,QB,245,357,68.6,2919,8.2,89,21,7,25,152.8
Graham Mertz,FLA,QB,261,358,72.9,2903,8.1,61,20,3,31,157.8
Kyle McCord,OSU,QB,211,318,66.4,2899,9.1,75,22,4,15,163.2
Jaxson Dart,MISS,QB,194,292,66.4,2889,9.9,68,19,5,25,167.6
Preston Stone,SMU,QB,192,325,59.1,2875,8.8,91,25,6,11,155.1
Gunnar Watson,TROY,QB,210,345,60.9,2858,8.3,64,24,4,21,151.1
Nicholas Vattiato,MTSU,QB,257,391,65.7,2851,7.3,72,23,10,28,141.3
Jacob Zeno,UAB,QB,263,353,74.5,2841,8.0,75,18,9,26,153.8
Byrum Brown,USF,QB,235,370,63.5,2825,7.6,88,19,10,35,139.2
Jordan Travis,FSU,QB,207,324,63.9,2755,8.5,80,20,2,14,154.5
E.J. Warner,TEM,QB,229,397,57.7,2746,6.9,74,21,11,7,127.7
Jack Plummer,LOU,QB,197,301,65.4,2710,9.0,85,19,10,20,155.3
Donovan Smith,HOU,QB,244,377,64.7,2640,7.0,60,21,12,23,135.6
Haynes King,GT,QB,208,334,62.3,2597,7.8,58,26,15,13,144.3
Sam Hartman,ND,QB,183,287,63.8,2549,8.9,76,22,7,14,158.8
Quinn Ewers,TEX,QB,196,279,70.3,2513,9.0,73,16,4,21,162.0
Alan Bowman,OKST,QB,217,367,59.1,2487,6.8,67,10,9,5,120.1
Cade Klubnik,CLEM,QB,245,386,63.5,2480,6.4,69,19,7,19,130.1
Carter Bradley,USA,QB,203,302,67.2,2477,8.2,84,17,7,24,150.1
Diego Pavia,NMSU,QB,176,291,60.5,2458,8.4,80,22,6,17,152.3
Rocco Becht,ISU,QB,201,317,63.4,2444,7.7,75,17,8,11,140.8
JT Daniels,RICE,QB,181,287,63.1,2443,8.5,80,21,7,15,153.8
Joe Milton III,TENN,QB,207,321,64.5,2430,7.6,83,16,5,15,141.4
DJ Uiagalelei,ORST,QB,161,280,57.5,2418,8.6,75,20,6,10,149.3
Tyler Van Dyke,MIA,QB,196,297,66.0,2413,8.1,64,17,12,10,145.1
Kaidon Salter,LIB,QB,138,230,60.0,2409,10.5,75,28,5,8,183.8
Mikey Keene,FRES,QB,230,344,66.9,2406,7.0,65,21,8,18,141.1
Jayden Maiava,UNLV,QB,166,260,63.8,2399,9.2,84,13,6,9,153.2
Will Howard,KSU,QB,195,309,63.1,2355,7.6,61,23,9,15,145.9
J.J. McCarthy,MICH,QB,175,237,73.8,2335,9.9,54,18,4,13,178.3
Chevan Cordeiro,SJSU,QB,188,307,61.2,2309,7.5,63,17,4,18,140.1
Keegan Shoemaker,SHSU,QB,233,371,62.8,2309,6.2,56,15,10,16,123.0
Frank Harris,UTSA,QB,193,298,64.8,2308,7.7,84,17,6,13,144.6
Dequan Finn,TOL,QB,174,264,65.9,2287,8.7,68,20,8,7,157.6
Jalen Milroe,ALA,QB,142,214,66.4,2267,10.6,79,19,6,33,179.0
Devin Leary,UK,QB,181,321,56.4,2234,7.0,59,20,9,18,129.8
Blake Shapen,BAY,QB,184,298,61.7,2188,7.3,71,13,3,25,135.8
Keyone Jenkins,FIU,QB,167,283,59.0,2173,7.7,80,8,9,36,126.5
Darren Grainger,GAST,QB,199,300,66.3,2165,7.2,97,15,5,14,140.1
Emory Jones,CIN,QB,182,295,61.7,2115,7.2,55,17,10,26,134.2
Hudson Card,PUR,QB,194,331,58.6,2112,6.4,84,12,8,20,119.3
KJ Jefferson,ARK,QB,188,294,63.9,2105,7.2,65,19,8,41,140.0
Ashton Daniels,STAN,QB,176,300,58.7,2095,7.0,97,11,7,23,124.8
Hank Bachmeier,LT,QB,182,269,67.7,2058,7.7,64,10,5,20,140.5
Drew Allar,PSU,QB,197,323,61.0,2044,6.3,72,21,1,12,135.0
Michael Pratt,TULN,QB,155,225,68.9,2043,9.1,50,19,4,12,169.5
Jaylen Raynor,ARST,QB,131,217,60.4,2030,9.4,68,14,5,20,155.6
Kurtis Rourke,OHIO,QB,176,277,63.5,1999,7.2,50,10,5,11,132.5
Thomas Castellanos,BC,QB,163,287,56.8,1995,7.0,52,14,11,17,123.6
Noah Fifita,ARIZ,QB,187,254,73.6,1988,7.8,69,18,4,14,159.6
Cole Snyder,BUFF,QB,192,346,55.5,1974,5.7,80,13,9,16,110.6
Dylan Hopkins,UNM,QB,145,251,57.8,1949,7.8,78,11,9,13,130.3
Cam Fancher,MRSH,QB,186,286,65.0,1948,6.8,65,8,11,24,123.8
Billy Wiles,USM,QB,162,301,53.8,1940,6.4,80,11,7,20,115.4
Grayson McCall,CCU,QB,151,224,67.4,1919,8.6,63,10,6,12,148.7
Garrett Greene,WVU,QB,119,229,52.0,1909,8.3,75,13,4,4,137.2
Daniel Richardson,FAU,QB,200,309,64.7,1908,6.2,76,12,10,25,122.9
