Player,School,POS,REC,YDS,AVG,LNG,TD
Malik Nabers,LSU,WR,86,1546,18.0,51,14
Malik Washington,UVA,WR,110,1426,13.0,64,9
Troy Franklin,ORE,WR,77,1349,17.5,84,14
Rome Odunze,WASH,WR,73,1326,18.2,50,13
Caullin Lacy,USA,WR,91,1316,14.5,84,7
Ricky White,UNLV,WR,75,1300,17.3,82,7
Xavier Legette,SC,WR,71,1255,17.7,76,7
Tetairoa McMillan,ARIZ,WR,80,1242,15.5,57,10
Marvin Harrison Jr.,OSU,WR,67,1211,18.1,75,14
Luther Burden III,MIZ,WR,83,1197,14.4,56,8
LaJohntay Wester,FAU,WR,108,1168,10.8,76,8
Tory Horton,CSU,WR,96,1136,11.8,76,8
Kris Mitchell,FIU,WR,64,1118,17.5,80,7
Brian Thomas Jr.,LSU,WR,60,1079,18.0,86,15
Elijah Sarratt,JMU,WR,74,1076,14.5,48,8
Isaiah Williams,ILL,WR,82,1055,12.9,67,5
Joshua Cephus,UTSA,WR,82,1049,12.8,84,9
Kelly Akharaiyi,UTEP,WR,48,1033,21.5,80,7
Steven McBride,HAW,WR,63,1024,16.3,65,9
Jalen Royals,USU,WR,68,1023,15.0,71,14
Elic Ayomanor,STAN,WR,62,1013,16.3,97,6
Reggie Brown,JMU,WR,51,1010,19.8,80,9
Ja'Mori Maclin,UNT,WR,57,1004,17.6,80,11
Xavier Restrepo,MIA,WR,74,993,13.4,48,5
Roc Taylor,MEM,WR,61,981,16.1,85,4
Javon Baker,UCF,WR,43,966,22.5,86,6
Ricky Pearsall,FLA,WR,65,965,14.8,61,4
Luke McCaffrey,RICE,WR,68,963,14.2,51,12
Tahj Washington,USC,WR,52,963,18.5,76,6
Sean Atkins,USF,WR,86,961,11.2,88,5
Malachi Corley,WKU,WR,75,958,12.8,75,11
Ja'Lynn Polk,WASH,WR,55,943,17.1,92,8
Tez Johnson,ORE,WR,70,942,13.5,77,9
Josh Kelly,WSU,WR,61,923,15.1,51,8
Khaleb Hood,GASO,WR,94,917,9.8,43,5
Xavier Weaver,COLO,WR,68,908,13.4,48,4
Sam Pinckney,CCU,WR,64,904,14.1,52,7
Xavier Worthy,TEX,WR,67,883,13.2,45,5
Robert Lewis,GAST,WR,70,881,12.6,97,7
Drake Stoops,OU,WR,78,880,11.3,60,10
Eric McAlister,BOIS,WR,47,873,18.6,83,5
Lincoln Victor,WSU,WR,89,860,9.7,50,5
Tejhaun Palmer,UAB,WR,47,858,18.3,80,7
Jabre Barber,TROY,WR,60,855,14.3,52,5
Kobe Hudson,UCF,WR,42,853,20.3,75,7
Jacolby George,MIA,WR,55,851,15.5,85,8
Tre Harris,MISS,WR,47,851,18.1,56,8
Joey Hobert,TXST,WR,71,847,11.9,83,8
Terrell Vaughn,USU,WR,81,847,10.5,76,10
Kyle Williams,WSU,WR,61,842,13.8,63,6
Pofele Ashlock,HAW,WR,83,832,10.0,53,9
Daniel Jackson,MINN,WR,57,831,14.6,39,8
CJ Daniels,LIB,WR,40,831,20.8,75,9
Demeer Blankumsee,MEM,WR,51,825,16.2,59,6
Ashtyn Hawkins,TXST,WR,52,819,15.8,48,3
Samuel Brown,HOU,WR,62,815,13.1,53,3
Malachi Fields,UVA,WR,58,811,14.0,39,5
Jamari Thrash,LOU,WR,56,801,14.3,85,6
Smoke Harris,LT,WR,83,796,9.6,64,4
Ainias Smith,TA&M,WR,53,795,15.0,42,2
Jordan Moore,DUKE,WR,59,794,13.5,49,8
Anthony Simpson,MASS,WR,57,792,13.9,71,3
Brenden Rice,USC,WR,45,791,17.6,75,12
Noah Smith,SHSU,WR,79,783,9.9,42,6
Xzavier Henderson,CIN,WR,58,782,13.5,55,3
Cyrus Allen,LT,WR,46,778,16.9,85,4
Dayton Wade,MISS,WR,52,769,14.8,58,4
