Player,School,POS,ATT,YDS,AVG,LNG,TD
Ollie Gordon II,OKST,RB,245,1580,6.4,75,20
Cody Schrader,MIZ,RB,247,1489,6.0,52,13
Tahj Brooks,TTU,RB,269,1447,5.4,46,9
Omarion Hampton,UNC,RB,234,1442,6.2,68,15
Peny Boone,TOL,RB,183,1359,7.4,71,15
Marcus Carroll,GAST,RB,274,1350,4.9,63,13
Kimani Vidal,TROY,RB,254,1349,5.3,69,9
Audric Estime,ND,RB,210,1341,6.4,80,18
RJ Harvey,UCF,RB,211,1296,6.1,92,16
Jaydn Ott,CAL,RB,229,1260,5.5,66,11
Quinton Cooley,LIB,RB,202,1251,6.2,60,13
Makhi Hughes,TULN,RB,232,1246,5.4,58,7
Emani Bailey,TCU,RB,223,1209,5.4,74,8
Devin Neal,KU,RB,183,1209,6.6,75,15
Ismail Mahdi,TXST,RB,199,1209,6.1,65,10
Jacory Croskey-Merritt,UNM,RB,189,1190,6.3,55,17
Damien Martinez,ORST,RB,194,1185,6.1,64,9
Antario Brown,NIU,RB,187,1164,6.2,80,10
Kay'Ron Lynch-Adams,MASS,RB,236,1157,4.9,47,12
Jonathon Brooks,TEX,RB,187,1139,6.1,67,10
Jayden Daniels,LSU,QB,135,1134,8.4,85,10
Frank Gore Jr.,USM,RB,231,1131,4.9,75,10
Kairee Robinson,SJSU,RB,157,1124,7.2,52,18
Ashton Jeanty,BOIS,RB,183,1113,6.1,68,13
Kyle Monangai,RUTG,RB,217,1099,5.1,55,7
Jawhar Jordan,LOU,RB,167,1076,6.4,74,13
DJ Giddens,KSU,RB,195,1075,5.5,43,9
Ray Davis,UK,RB,186,1066,5.7,75,13
LeQuint Allen,SYR,RB,225,1062,4.7,56,9
Quinshon Judkins,MISS,RB,237,1052,4.4,40,15
Corey Kiner,CIN,RB,192,1047,5.5,68,5
Blake Watson,MEM,RB,177,1045,5.9,69,14
Marquez Cooper,BALL,RB,227,1043,4.6,39,4
Bucky Irving,ORE,RB,163,1043,6.4,56,10
Rasheen Ali,MRSH,RB,203,1043,5.1,61,14
Ayo Adeyi,UNT,RB,143,1017,7.1,47,6
Jaylen Wright,TENN,RB,137,1013,7.4,82,4
La'Damian Webb,USA,RB,186,1007,5.4,65,16
Jalen Buckley,WMU,RB,189,1003,5.3,75,10
Braelon Allen,WIS,RB,181,984,5.4,52,12
Blake Corum,MICH,RB,202,976,4.8,54,22
Dillon Johnson,WASH,RB,173,961,5.6,53,12
Thomas Castellanos,BC,QB,194,957,4.9,45,11
Jamal Haynes,GT,RB,156,931,6.0,67,7
Kaidon Salter,LIB,QB,141,899,6.4,43,11
Phil Mafah,CLEM,RB,168,894,5.3,49,9
Jalen White,GASO,RB,159,891,5.6,45,9
Anthony Watkins,TLSA,RB,197,889,4.5,46,4
Malik Sherrod,FRES,RB,152,876,5.8,72,9
Jarquez Hunter,AUB,RB,146,865,5.9,67,7
Malik Jackson,JVST,RB,133,860,6.5,68,7
Harrison Waylee,WYO,RB,146,856,5.9,75,5
TreVeyon Henderson,OSU,RB,137,854,6.2,75,11
Kaytron Allen,PSU,RB,162,851,5.3,50,6
Jonah Coleman,ARIZ,RB,123,851,6.9,59,5
Carson Steele,UCLA,RB,167,847,5.1,42,6
Trey Benson,FSU,RB,138,838,6.1,85,14
Rashad Amos,M-OH,RB,162,821,5.1,66,10
MarShawn Lloyd,USC,RB,116,820,7.1,56,9
Montrell Johnson Jr.,FLA,RB,152,817,5.4,52,5
Bryson Daily,ARMY,QB,188,817,4.3,62,7
Deion Hankins,UTEP,RB,157,812,5.2,54,5
Sieh Bangura,OHIO,RB,178,811,4.6,26,7
Quali Conley,SJSU,RB,127,809,6.4,68,8
Devin Mockobee,PUR,RB,172,807,4.7,65,6
Diego Pavia,NMSU,QB,153,806,5.3,44,5
Jase McClellan,ALA,RB,166,803,4.8,29,6
Jermaine Brown Jr.,UAB,RB,158,803,5.1,40,12
Will Shipley,CLEM,RB,156,798,5.1,33,5
CJ Donaldson Jr.,WVU,RB,171,798,4.7,32,11
Nathan Carter,MSU,RB,186,792,4.3,44,4
Jahiem White,WVU,RB,97,792,8.2,53,3
Nate Noel,APP,RB,159,787,4.9,68,5
Cameron Skattebo,ASU,RB,164,783,4.8,66,9
Daijun Edwards,UGA,RB,147,781,5.3,62,11
Leshon Williams,IOWA,RB,155,779,5.0,82,1
Terion Stewart,BGSU,RB,125,762,6.1,54,8
Nay'Quan Wright,USF,RB,168,757,4.5,47,7
Jordan Waters,DUKE,RB,142,753,5.3,83,12
Trevor Etienne,FLA,RB,131,753,5.7,62,8
Emmanuel Michel,AFA,FB,169,747,4.4,53,9
Byrum Brown,USF,QB,189,745,3.9,60,11
Ja'Quinden Jackson,UTAH,RB,153,742,4.8,54,4
Oscar Adaway III,UNT,RB,123,738,6.0,77,6
Marion Lukes,CMU,RB,144,737,5.1,46,5
Davon Booth,USU,RB,116,734,6.3,49,5
Jacob Kibodi,UL,RB,129,729,5.7,69,7
Bhayshul Tuten,VT,RB,155,727,4.7,49,8
Kiael Kelly,BALL,QB,135,724,5.4,55,7
Alex Tecza,NAVY,FB,117,724,6.2,75,5
TJ Harden,UCLA,RB,136,722,5.3,62,6
Tyrone Tracy Jr.,PUR,RB,113,716,6.3,62,8
Garrett Greene,WVU,QB,111,708,6.4,35,13
Dean Connors,RICE,RB,106,707,6.7,57,5
Mario Anderson,SC,RB,143,707,4.9,75,3
Nicholas Singleton,PSU,RB,163,702,4.3,24,8
Kevorian Barnes,UTSA,RB,139,698,5.0,44,6
Kye Robichaux,BC,RB,150,691,4.6,57,7
Ja'Quez Cross,ARST,RB,120,688,5.7,66,7
Rahsul Faison,USU,RB,105,688,6.6,60,5
Larry McCammon,FAU,RB,149,681,4.6,40,5
Vincent Davis Jr.,UNLV,RB,118,667,5.7,69,5
Roman Hemby,MD,RB,135,663,4.9,40,4
Jordan James,ORE,RB,93,661,7.1,37,10
Logan Diggs,LSU,RB,118,652,5.5,35,7
Haynes King,GT,QB,108,648,6.0,71,9
Jaylan Knighton,SMU,RB,113,645,5.7,95,6
Kendall Milton,UGA,RB,99,644,6.5,51,10
Treshaun Ward,KSU,RB,124,643,5.2,52,5
Kyron Drones,VT,QB,146,642,4.4,59,4
Lorenzo Lingard,AKR,RB,143,641,4.5,71,4
Isaac Guerendo,LOU,RB,105,639,6.1,73,8
Zion Webb,JVST,QB,116,638,5.5,61,7
Samson Evans,EMU,RB,142,635,4.5,61,12
Darren Grainger,GAST,QB,135,625,4.6,65,8
Torrance Burgess Jr.,UTEP,RB,124,620,5.0,40,2
Cam Porter,NU,RB,156,618,4.0,34,4
Camryn Edwards,CONN,RB,123,618,5.0,39,4
Gavin Sawchuk,OU,RB,105,610,5.8,64,8
Abu Sama III,ISU,RB,72,610,8.5,77,6
Ron Cook Jr.,BUFF,RB,148,609,4.1,36,6
Star Thomas,NMSU,RB,103,604,5.9,40,4
Jaquez Moore,DUKE,RB,102,601,5.9,58,6
Daniel Hishaw Jr.,KU,RB,116,599,5.2,29,8
Kanye Roberts,APP,RB,100,595,5.9,61,5
Kaelon Black,JMU,RB,131,594,4.5,57,1
Kadarius Calloway,ODU,RB,78,594,7.6,75,4
Darius Taylor,MINN,RB,103,591,5.7,43,4
Demond Claiborne,WAKE,RB,137,586,4.3,42,5
Henry Parrish Jr.,MIA,RB,89,579,6.5,38,6
Zac Larrier,AFA,QB,133,579,4.4,41,5
Jaylon Jackson,EMU,RB,125,574,4.6,55,2
Jo'Quavious Marks,MSST,RB,121,573,4.7,52,4
Ty Son Lawton,JMU,RB,126,568,4.5,28,5
Reggie Love III,ILL,RB,116,567,4.9,61,4
Shomari Lawrence,FIU,RB,125,566,4.5,67,4
Emory Jones,CIN,QB,155,560,3.6,25,4
Johnny Richardson,UCF,RB,84,557,6.6,79,1
Zak Wallace,ARST,RB,121,556,4.6,41,6
Keshawn Wicks,ODU,RB,110,552,5.0,36,4
CJ Baxter,TEX,RB,116,552,4.8,54,3
Tyre Shelton,LT,RB,97,551,5.7,56,5
Robert Henry,UTSA,RB,113,551,4.9,43,9
Victor Rosa,CONN,RB,112,550,4.9,71,3
Justice Ellison,WAKE,RB,120,548,4.6,51,1
Rodney Hammond Jr.,PITT,RB,118,547,4.6,66,4
Brennan Armstrong,NCSU,QB,126,544,4.3,43,6
Gavin Garcia,KENT,RB,138,544,3.9,42,2
Monte Watkins,NMSU,RB,52,543,10.4,80,2
LJ Johnson Jr.,SMU,RB,99,542,5.5,67,3
Jordan Nubin,MINN,RB,124,535,4.3,21,3
Dequan Finn,TOL,QB,110,530,4.8,56,6
George Holani,BOIS,RB,96,530,5.5,75,5
Jalen Mayden,SDSU,QB,128,528,4.1,70,5
Sean Dollars,NEV,RB,151,527,3.5,33,6
Ulysses Bentley IV,MISS,RB,92,521,5.7,43,4
John Lee Eldridge III,AFA,RB,76,521,6.9,65,6
Payton Thorne,AUB,QB,125,520,4.2,61,3
Dominic Richardson,BAY,RB,125,519,4.2,32,1
LJ Martin,BYU,RB,109,518,4.8,55,4
Amari Daniels,TA&M,RB,97,514,5.3,79,5
Jaylon Glover,UTAH,RB,121,513,4.2,30,2
Mark Fletcher Jr.,MIA,RB,103,512,5.0,54,5
Hunter Smith,ULM,RB,94,507,5.4,62,3
Jai'Den Thomas,UNLV,RB,107,501,4.7,46,12
Deshaun Fenwick,ORST,RB,90,500,5.6,38,5
Roydell Williams,ALA,RB,94,497,5.3,48,4
Tawee Walker,OU,RB,95,496,5.2,30,7
Brendon Lewis,NEV,QB,120,495,4.1,31,4
Billy Lucas,LIB,RB,95,492,5.2,20,5
Zeon Chriss,UL,QB,73,492,6.7,80,6
Gavin Wimsatt,RUTG,QB,122,488,4.0,80,9
Aidan Robbins,BYU,RB,101,485,4.8,36,1
Rahjai Harris,ECU,RB,129,485,3.8,50,5
Le'Veon Moss,TA&M,RB,96,484,5.0,36,5
Dylan Carson,AFA,RB,66,479,7.3,68,2
Donald Chaney Jr.,MIA,RB,94,478,5.1,29,2
Heinrich Haarberg,NEB,QB,120,477,4.0,72,5
Eli Sanders,ISU,RB,102,477,4.7,29,4
Jalon Jones,CLT,QB,110,476,4.3,58,4
Myles Bailey,CMU,RB,101,476,4.7,48,3
Jabari Small,TENN,RB,95,475,5.0,40,2
John Rhys Plumlee,UCF,QB,91,473,5.2,32,5
Dylan Sampson,TENN,RB,86,471,5.5,44,7
Zahir Abdus-Salaam,WMU,RB,123,470,3.8,19,5
Garrett Shrader,SYR,QB,113,469,4.2,39,8
Parker Jenkins,HOU,RB,99,464,4.7,31,3
Elijah Young,WKU,RB,96,460,4.8,64,3
Jaylen Thomas,KENT,RB,133,460,3.5,34,2
Jacquez Stuart,TOL,RB,97,459,4.7,24,5
Donerio Davenport,TXST,RB,90,458,5.1,43,2
