Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Ball State,@Northern Illinois,BALL,20,NIU,17,Rocky Lombardi,141,Marquez Cooper,93,Trayvon Rudolph,57
Central Michigan,@Western Michigan,WMU,38,CMU,28,Hayden Wolff,333,Marion Lukes,147,Kenneth Womack,135
Ohio,@Buffalo,OHIO,20,BUFF,10,Cole Snyder,171,Sieh Bangura,78,Boobie Curry,66
Akron,@Miami (OH),M,19,AKR,0,Rashad Amos,118,Jasaiah Gathings,69,,
Bowling Green,@Kent State,BGSU,49,KENT,19,Tommy Ulatowski,284,ron Keith,103,ron Keith,130
Eastern Michigan,@Toledo,TOL,49,EMU,23,Dequan Finn,407,Jaylon Jackson,74,Peny Boone,116
Virginia,@11Louisville,LOU,31,UVA,24,Anthony Colandrea,314,Jawhar Jordan,95,Malik Washington,155
Southern Miss,@Louisiana,USM,34,UL,31,Chandler Fields,260,Harvey Broussard,77,,
North Texas,@SMU,SMU,45,UNT,21,Chandler Rogers,240,Jaylan Knighton,129,Moochie Dixon,99
Wyoming,@UNLV,UNLV,34,WYO,14,Jayden Maiava,232,Andrew Peasley,69,Ricky White,144
Michigan State,@1Ohio State,OSU,38,MSU,3,Kyle McCord,335,TreVeyon Henderson,63,,
9Ole Miss,@2Georgia,UGA,52,MISS,17,Carson Beck,306,Kendall Milton,127,Ladd McConkey,81
3Michigan,@10Penn State,MICH,24,PSU,15,Drew Allar,70,Blake Corum,145,Tyler Warren,25
Miami,@4Florida State,FSU,27,MIA,20,Jordan Travis,265,Jacolby George,153,,
18Utah,@5Washington,WASH,35,UTAH,28,Dillon Johnson,104,Devaughn Vele,145,,
USC,@6Oregon,ORE,36,USC,27,Bo Nix,412,Bucky Irving,118,Troy Franklin,147
7Texas,@TCU,TEX,29,TCU,26,Quinn Ewers,317,Jonathon Brooks,104,Savion Williams,164
8Alabama,@Kentucky,ALA,49,UK,21,Jalen Milroe,234,Ramon Jefferson,73,Kobe Prentice,74
Stanford,@12Oregon State,ORST,62,STAN,17,DJ Uiagalelei,240,Damien Martinez,146,Elic Ayomanor,122
13Tennessee,@14Missouri,MIZ,36,TENN,7,Brady Cook,275,Cody Schrader,205,Cody Schrader,116
15Oklahoma State,@UCF,UCF,45,OKST,3,John Rhys Plumlee,299,RJ Harvey,206,Javon Baker,112
Texas Tech,@16Kansas,TTU,16,KU,13,Behren Morton,176,Devin Neal,137,Jerand Bradley,91
West Virginia,@17Oklahoma,OU,59,WVU,20,Dillon Gabriel,423,Gavin Sawchuk,135,Drake Stoops,164
Florida,@19LSU,LSU,52,FLA,35,Jayden Daniels,372,Jayden Daniels,234,,
21Arizona,@Colorado,ARIZ,34,COLO,31,Shedeur Sanders,262,Jonah Coleman,179,Tetairoa McMillan,107
Rutgers,@22Iowa,IOWA,22,RUTG,0,Deacon Hill,223,Leshon Williams,63,Zach Ortwerth,54
Tulsa,@23Tulane,TULN,24,TLSA,22,Kirk Francis,345,Makhi Hughes,131,Kamdyn Benjamin,157
Duke,@24North Carolina,UNC,47,DUKE,45,Drake Maye,342,Omarion Hampton,169,Devontez Walker,162
Baylor,@25Kansas State,KSU,59,BAY,25,Blake Shapen,253,DJ Giddens,115,Drake Dabney,105
Holy Cross,@Army,ARMY,17,HC,14,Matthew Sluka,156,Matthew Sluka,171,Casey Reynolds,69
Indiana,@Illinois,ILL,48,IU,45,John Paddock,507,Reggie Love III,140,Isaiah Williams,200
Maryland,@Nebraska,MD,13,NEB,10,Taulia Tagovailoa,283,Emmett Johnson,84,Jeshaun Jones,86
Vanderbilt,@South Carolina,SC,47,VAN,6,Spencer Rattler,351,Mario Anderson,102,Xavier Legette,120
Virginia Tech,@Boston College,VT,48,BC,22,Kyron Drones,219,Kyron Drones,135,Quan Felton,101
Georgia Tech,@Clemson,CLEM,42,GT,21,Cade Klubnik,205,Jamal Haynes,104,Beaux Collins,65
Temple,@South Florida,USF,27,TEM,23,Byrum Brown,316,Quan Wright,69,Sean Atkins,169
Old Dominion,@Liberty,LIB,38,ODU,10,Kaidon Salter,225,Quinton Cooley,85,CJ Daniels,137
UConn,@James Madison,JMU,44,CONN,6,Jordan McCloud,457,Camryn Edwards,43,Reggie Brown,202
NC State,@Wake Forest,NCSU,26,WAKE,6,Michael Kern,137,Brennan Armstrong,96,Dacari Collins,40
Memphis,@Charlotte,MEM,44,CLT,38,Seth Henigan,329,Hahsaun Wilson,198,Colin Weber,117
Appalachian State,@Georgia State,APP,42,GAST,14,Joey Aguilar,255,Marcus Carroll,113,Makai Jackson,98
Troy,@UL Monroe,TROY,45,ULM,14,Jiya Wright,243,Bennett Galloway,51,Tyrone Howell,93
Sam Houston,@Louisiana Tech,SHSU,42,LT,27,Hank Bachmeier,384,Adrian Murdaugh,63,Cyrus Allen,170
Nevada,@Utah State,USU,41,NEV,24,Cooper Legas,182,Rahsul Faison,181,Micah Davis,87
Florida International,@Middle Tennessee,MTSU,40,FIU,6,Nicholas Vattiato,275,DJ Riles,58,Chisolm,76
Minnesota,@Purdue,PUR,49,MINN,30,Athan Kaliakmanis,292,Devin Mockobee,153,Daniel Jackson,119
Northwestern,@Wisconsin,NU,24,WIS,10,Tanner Mordecai,255,Cam Porter,72,Will Pauling,96
New Mexico State,@Western Kentucky,NMSU,38,WKU,29,Austin Reed,270,Star Thomas,85,Elijah Young,84
Pittsburgh,@Syracuse,SYR,28,PITT,13,Christian Veilleux,161,Dan Villari,154,Bub Means,71
UAB,@Navy,NAVY,31,UAB,6,Jacob Zeno,206,Xavier Arline,109,Regis Velez,45
Texas State,@Coastal Carolina,CCU,31,TXST,23,Ethan Vasko,145,Ismail Mahdi,97,Sam Pinckney,81
Auburn,@Arkansas,AUB,48,ARK,10,Payton Thorne,163,Jarquez Hunter,109,Varrius Johnson,53
Washington State,@California,CAL,42,WSU,39,Cameron Ward,354,Jaydn Ott,167,Josh Kelly,130
East Carolina,@Florida Atlantic,ECU,22,FAU,7,Alex Flinn,156,Larry McCammon,36,Chase Sowell,72
Arkansas State,@South Alabama,USA,21,ARST,14,Jaylen Raynor,186,Damian Webb,163,Jeff Foreman,61
Cincinnati,@Houston,CIN,24,HOU,14,Emory Jones,131,Corey Kiner,129,Braden Smith,69
Georgia Southern,@Marshall,MRSH,38,GASO,33,Davis Brin,307,Rasheen Ali,165,DeMarcus Harris,147
San Diego State,@Colorado State,CSU,22,SDSU,19,Nicolosi,202,Justin Marshall,119,Simmons,89
Mississippi State,@Texas A&M,TA,51,MSST,10,Jaylen Henderson,150,Seth Davis,79,Ainias Smith,64
Rice,@UTSA,UTSA,34,RICE,14,AJ Padgett,182,Rocko Griffin,81,Luke McCaffrey,68
Arizona State,@UCLA,ASU,17,UCLA,7,Trenton Bourguet,149,Cameron Skattebo,61,Elijhah Badger,116
New Mexico,@Boise State,BOIS,42,UNM,14,Maddux Madsen,202,George Holani,95,Prince Strachan,128
Iowa State,@BYU,ISU,45,BYU,13,Rocco Becht,203,Abu Sama III,110,Jaylin Noel,98
Fresno State,@San José State,SJSU,42,FRES,18,Chevan Cordeiro,146,Kairee Robinson,200,Mac Dalena,69
Air Force,@Hawai'i,HAW,27,AFA,13,Brayden Schager,176,Dylan Carson,87,Pofele Ashlock,67
