Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore
Toledo,@Bowling Green,TOL,32,BGSU,31,Connor Bazelak,286,Peny Boone,131
Western Michigan,@Northern Illinois,NIU,24,WMU,0,Hayden Wolff,182,Antario Brown,159
Akron,@Eastern Michigan,EMU,30,AKR,27,Samson Evans,71,Zayat,92
Central Michigan,@Ohio,OHIO,34,CMU,20,Kurtis Rourke,222,Sieh Bangura,126
Buffalo,@Miami (OH),M,23,BUFF,10,Aveon Smith,146,Rashad Amos,82
Boston College,@Pittsburgh,PITT,24,BC,16,Nate Yarnell,207,Bub Means,78
South Florida,@UTSA,UTSA,49,USF,21,Frank Harris,411,Frank Harris,112
Colorado,@Washington State,WSU,56,COLO,14,Cameron Ward,288,veon Wilkerson,49
1Georgia,@18Tennessee,UGA,38,TENN,10,Carson Beck,298,Jaylen Wright,90
Minnesota,@2Ohio State,OSU,37,MINN,3,Kyle McCord,212,TreVeyon Henderson,146
3Michigan,@Maryland,MICH,31,MD,24,Taulia Tagovailoa,247,Blake Corum,94
North Alabama,@4Florida State,FSU,58,UNA,13,Tate Rodemaker,217,Jaheim Bell,59
5Washington,@11Oregon State,WASH,22,ORST,20,DJ Uiagalelei,164,Damien Martinez,123
6Oregon,@Arizona State,ORE,49,ASU,13,Bo Nix,404,Bucky Irving,63
7Texas,@Iowa State,TEX,26,ISU,16,Rocco Becht,323,CJ Baxter,117
Chattanooga,@8Alabama,ALA,66,UTC,10,Jalen Milroe,197,Gino Appleberry,104
Florida,@9Missouri,MIZ,33,FLA,31,Brady Cook,331,Cody Schrader,148
10Louisville,@Miami,LOU,38,MIA,31,Tyler Van Dyke,327,Xavier Restrepo,193
Rutgers,@12Penn State,PSU,27,RUTG,6,Gavin Wimsatt,130,Beau Pribula,71
UL Monroe,@13Ole Miss,MISS,35,ULM,3,Jaxson Dart,310,Hunter Smith,74
14Oklahoma,@BYU,OU,31,BYU,24,Dillon Gabriel,191,Aidan Robbins,182
Georgia State,@15LSU,LSU,56,GAST,14,Jayden Daniels,413,Jayden Daniels,96
Illinois,@16Iowa,IOWA,15,ILL,13,John Paddock,215,Reggie Love III,64
22Utah,@17Arizona,ARIZ,42,UTAH,18,Bryson Barnes,320,Jonah Coleman,90
Wake Forest,@19Notre Dame,ND,45,WAKE,7,Sam Hartman,277,Audric Estime,115
